material_id,structure_type,band_gap,density,volume,nsites,avg_atomic_volume,dopant_count,volume_per_site,structural_factor,doping_structural_coupling,density_volume_ratio,compactness,coordination_factor,dimensional_factor,confinement_parameter,Zn_fraction,O_fraction,Zn_O_ratio,avg_electronegativity,electronegativity_difference,avg_atomic_radius,avg_valence_electrons,ionic_radius_mismatch,is_mg,mg_lattice_strain,mg_electronegativity_diff,mg_size_mismatch,mg_bond_energy_diff,dataset_split
mp-aaaieipk,Bulk ZnO,2.7599,9.052018708854757,107.12755246471944,10,10.712755246471945,2,10.712755246471945,0,0.0,0.08449757789281967,0.09334666731318558,2.1055534589820755,23.07993152882022,0.0933466585995861,0.1,0.6,0.16666666666666669,2.684,2.17,0.9700000000000001,4.6,0.4902059145549066,0,0.0,0.0,0.0,0.0,Training
mp-aaaieipl,Bulk ZnO,1.8477999999999994,8.704603116827878,120.19176865479736,10,12.019176865479736,2,12.019176865479736,0,0.0,0.07242262273241322,0.08320037313637499,2.0263218368555957,25.894531584618225,0.08320036621407348,0.1,0.6,0.16666666666666669,2.6790000000000003,2.17,0.99,4.6,0.4957733814866922,0,0.0,0.0,0.0,0.0,Training
mp-aaaieipq,2D ZnO,4.540100000000001,5.818711730416606,116.79496014340394,10,11.679496014340394,1,11.679496014340394,1,0.0,0.049819887119035254,0.0856201328184173,2.0457786050357925,25.16271137538407,0.08562012548761079,0.2,0.6,0.33333333333333337,2.66,2.11,0.9400000000000001,4.3999999999999995,0.44807318486447417,0,0.0,0.0,0.0,0.0,Training
mp-aaaieipr,Bulk ZnO,0.3755000000000006,8.546323937608557,130.294760000224,10,13.029476000022399,2,13.029476000022399,0,0.0,0.06559223055166505,0.07674905729119735,1.9725333285182112,28.071155087386128,0.07674905140078002,0.1,0.6,0.16666666666666669,2.766,2.11,0.9700000000000001,5.0,0.4719803357627958,0,0.0,0.0,0.0,0.0,Training
mp-aaaieipw,Bulk ZnO,0.5140000000000002,9.124677801080896,127.03821750789888,10,12.703821750789889,2,12.703821750789889,0,0.0,0.07182624237083261,0.0787164697062774,1.9892461957002063,27.369554275883317,0.07871646350999527,0.1,0.6,0.16666666666666669,2.829,1.79,0.9600000000000001,5.199999999999999,0.46456464835321937,0,0.0,0.0,0.0,0.0,Training
mp-aaaieiqy,Bulk ZnO,2.6069000000000004,6.206966483732347,110.18342166894519,10,11.018342166894518,2,11.018342166894518,0,0.0,0.05633303440495494,0.09075775510081537,2.0859052716206046,23.738298590998628,0.09075774686384601,0.1,0.6,0.16666666666666669,2.674,2.2199999999999998,0.9800000000000001,4.6,0.5020781469440813,0,0.0,0.0,0.0,0.0,Test
mp-aaaieirp,Bulk ZnO,2.3053999999999997,8.783367023405168,126.99679725268355,10,12.699679725268355,2,12.699679725268355,0,0.0,0.06916211442662636,0.07874214323770036,1.9894624377124563,27.36063055241273,0.07874213703737573,0.1,0.6,0.16666666666666669,2.911,1.79,1.0,4.8,0.5064582904835175,0,0.0,0.0,0.0,0.0,Training
mp-aaaieirr,Bulk ZnO,1.5697999999999999,8.099447400642681,123.53683130553752,10,12.353683130553751,2,12.353683130553751,0,0.0,0.0655630172398604,0.08094751900562752,2.0078650218856815,26.615203486126685,0.08094751245312723,0.1,0.6,0.16666666666666669,2.616,2.17,1.0,4.3999999999999995,0.500999001994513,0,0.0,0.0,0.0,0.0,Training
mp-aaaieirz,Bulk ZnO,1.5134999999999996,5.666982014229437,126.1278510544364,10,12.61278510544364,2,12.61278510544364,0,0.0,0.04493045720555078,0.07928462997188487,1.9940207250486872,27.173421769085234,0.07928462368583283,0.1,0.6,0.16666666666666669,2.606,2.2199999999999998,1.0100000000000002,4.3999999999999995,0.5110292237842043,0,0.0,0.0,0.0,0.0,Training
mp-aaaieiso,Bulk ZnO,3.6273,4.3526215182948516,167.3413643043481,14,11.952954593167721,1,11.952954593167721,0,0.0,0.026010434039360555,0.0836613234163541,2.540545245834134,28.80832104676097,0.08366131641713766,0.14285714285714285,0.5714285714285714,0.25,2.59,2.08,0.9928571428571429,4.285714285714286,0.4634567887306529,0,0.0,0.0,0.0,0.0,Training
